Randolf wears one skirt and that mother of Marcus wears at least as many white skirt . <eos>	[5.545644283294678, 5.360159873962402, 3.824857234954834, 3.703824281692505, 3.3856468200683594, 4.1902618408203125, 5.244014739990234, 4.79781436920166, 4.682974815368652, 4.635748863220215, 3.826127529144287, 3.628366470336914, 3.976667881011963, 3.8903801441192627, 3.6910829544067383, 5.362729072570801, 5.204218864440918, 3.2731477972447465e-07]	[2.5537118911743164, 12.572961807250977, 5.85637092590332, 7.462353706359863, 1.9780340194702148, 6.042078018188477, 9.985713958740234, 4.677675247192383, 10.605684280395508, 6.514888763427734, 6.200111389160156, 2.110757827758789, 4.416969299316406, 1.8904657363891602, 5.7169599533081055, 10.74337387084961, 3.746835708618164, -0.0]	Randolf wears one lost skirt and that mother of Marcus wears at least as many white . <eos>	[4.988274574279785, 6.399275302886963, 3.515080690383911, 3.3686318397521973, 6.31859016418457, 3.1178083419799805, 4.8673553466796875, 4.990665435791016, 4.548535346984863, 4.960442543029785, 4.512235641479492, 3.6100552082061768, 3.612131118774414, 3.931741237640381, 3.7935197353363037, 3.731729030609131, 5.253116607666016, 3.2694947549316566e-07]	[2.94036865234375, 10.342098236083984, 5.645769119262695, 13.26891803741455, 6.425250053405762, 1.562154769897461, 6.031633377075195, 10.288707733154297, 5.12602424621582, 10.442404747009277, 6.171710014343262, 6.3231611251831055, 1.8826847076416016, 4.194738388061523, 1.915151596069336, 6.064199447631836, 5.1593475341796875, -0.0]
Jerry 's associates are n't discovering one shawl and every girl was discovering some small shawl . <eos>	[4.991250991821289, 5.981529235839844, 6.319196701049805, 5.494690418243408, 6.666776657104492, 6.094149589538574, 4.415464878082275, 2.5071587562561035, 5.3758416175842285, 5.920994758605957, 6.224437713623047, 4.258203506469727, 6.195411682128906, 4.137918949127197, 3.439235210418701, 6.781532287597656, 4.872350692749023, 2.821684290665871e-07]	[9.946361541748047, 3.6529951095581055, 8.347319602966309, 2.29691219329834, 6.682406425476074, 12.359613418579102, 6.065619468688965, 6.034769058227539, 3.3473873138427734, 7.388267993927002, 5.583334922790527, 4.436885833740234, 12.038053512573242, 5.322153091430664, 7.29694938659668, 2.3507890701293945, 1.8696260452270508, -0.0]	Jerry 's associates are n't discovering one orange shawl and every girl was discovering some small . <eos>	[4.989656448364258, 5.98298978805542, 6.327511787414551, 5.494263648986816, 6.667341232299805, 6.094242095947266, 4.415091514587402, 2.5055837631225586, 6.067234039306641, 4.619735240936279, 5.848383903503418, 6.329403877258301, 4.448791980743408, 6.18109130859375, 4.035853385925293, 3.831606149673462, 6.712037563323975, 2.938356828963151e-07]	[9.952254295349121, 3.647212028503418, 8.344253540039062, 2.2945661544799805, 6.683258056640625, 12.357946395874023, 6.065464973449707, 14.241125106811523, 3.235438346862793, 3.232333183288574, 7.082550048828125, 6.322508811950684, 4.679278373718262, 12.242422103881836, 5.228290557861328, 6.978237152099609, 6.7825026512146, -0.0]
Peter was buying three hills and that senator was buying at least as many old hills . <eos>	[4.989285469055176, 6.056084632873535, 5.392086029052734, 4.753926753997803, 6.213688850402832, 3.289025068283081, 5.731903076171875, 4.9224395751953125, 4.554604530334473, 6.025918960571289, 4.854926109313965, 2.6219732761383057, 4.132102966308594, 1.5321601629257202, 2.2647688388824463, 5.66758918762207, 0.8827968835830688, 2.785979233976832e-07]	[8.161972999572754, 3.3666744232177734, 12.091521263122559, 5.889472007751465, 8.755206108093262, 2.0523548126220703, 6.6978302001953125, 15.014662742614746, 1.672093391418457, 7.410689353942871, 5.823847770690918, 0.5375118255615234, 6.28038215637207, 1.0181407928466797, 8.222024917602539, 10.63479995727539, 3.504840850830078, -0.0]	Peter was buying three hidden hills and that senator was buying at least as many old . <eos>	[4.99066162109375, 6.055310249328613, 5.392859935760498, 4.754034042358398, 6.214322090148926, 6.431601524353027, 3.284757614135742, 5.619866847991943, 4.820949554443359, 5.241157531738281, 6.143090724945068, 4.8288702964782715, 2.982201337814331, 4.082219123840332, 1.6520476341247559, 2.9569640159606934, 5.850115776062012, 2.8133229079685407e-07]	[8.166203498840332, 3.3682823181152344, 12.089011192321777, 5.889886856079102, 11.591999053955078, 9.347527503967285, 2.256852149963379, 6.430397987365723, 15.503207206726074, 2.0719051361083984, 7.595961570739746, 5.925409317016602, 0.7003717422485352, 6.000055313110352, 1.1282882690429688, 7.513647079467773, 7.893482208251953, -0.0]
Every picture is n't looking like one spotlight and a print of that lake is n't looking like five orange spotlight . <eos>	[4.992305755615234, 6.176143646240234, 4.12302303314209, 6.126669406890869, 6.0631632804870605, 3.0384364128112793, 2.4894189834594727, 4.324740409851074, 3.6867923736572266, 5.499977111816406, 6.5111212730407715, 5.196353912353516, 5.013057231903076, 5.742481708526611, 3.644650459289551, 5.660632133483887, 5.229857921600342, 3.061072826385498, 2.983466625213623, 5.986116409301758, 5.624790191650391, 4.351593017578125, 2.8760598524968373e-07]	[7.681063652038574, 9.183250427246094, 1.7919635772705078, 7.226963996887207, 8.412628173828125, 3.166086196899414, 4.273460388183594, 11.735061645507812, 3.329679489135742, 3.4875001907348633, 9.260101318359375, 2.872743606567383, 4.433271408081055, 10.983827590942383, 2.761343002319336, 3.463179588317871, 7.540082931518555, 2.8505430221557617, 9.342856407165527, 9.510420799255371, 16.321826934814453, 1.2136287689208984, -0.0]	Every picture is n't looking like one popular spotlight and a print of that lake is n't looking like five orange . <eos>	[4.990031719207764, 6.173498153686523, 4.124000072479248, 6.125970363616943, 6.062900543212891, 3.038583278656006, 2.48978853225708, 4.326090335845947, 6.017738342285156, 3.2309153079986572, 5.582297325134277, 6.664553642272949, 5.385514736175537, 5.153824806213379, 5.7030415534973145, 3.3690075874328613, 5.541592597961426, 5.154237270355225, 2.9202003479003906, 3.0012335777282715, 5.9873247146606445, 5.7139129638671875, 2.9738299645032384e-07]	[7.680023193359375, 9.173072814941406, 1.789097785949707, 7.230010032653809, 8.41141414642334, 3.16532039642334, 4.2729997634887695, 11.705957412719727, 10.409208297729492, 3.3004817962646484, 2.8195571899414062, 9.04244613647461, 2.8118629455566406, 4.400003433227539, 11.474098205566406, 3.0989017486572266, 3.292856216430664, 7.906549453735352, 3.013660430908203, 9.459288597106934, 9.693010330200195, 3.5690383911132812, -0.0]
These books were n't distracting one granddaughter and the rivers were n't distracting at least as many determined granddaughter . <eos>	[4.988945960998535, 7.003969192504883, 4.189467430114746, 5.417010307312012, 5.326079368591309, 4.239932060241699, 3.046320676803589, 3.2443432807922363, 6.180613040924072, 6.125469207763672, 5.797798156738281, 6.800696849822998, 6.545827865600586, 3.585573196411133, 3.558925151824951, 4.076589584350586, 4.3161420822143555, 3.9998984336853027, 5.416214466094971, 5.260911464691162, 2.913279786298517e-07]	[4.842529296875, 6.310551643371582, 1.6248493194580078, 7.803160667419434, 13.392520904541016, 7.547772407531738, 13.050508499145508, 2.8848342895507812, 3.1535511016845703, 15.676912307739258, 2.3610267639160156, 6.167900085449219, 8.624761581420898, 5.545637130737305, 4.532619476318359, 2.7944936752319336, 2.855778694152832, 12.042591094970703, 13.645063400268555, 3.413402557373047, -0.0]	These books were n't distracting one out in the open granddaughter and the rivers were n't distracting at least as many determined . <eos>	[4.989830017089844, 7.0061821937561035, 4.190927982330322, 5.417238235473633, 5.327037811279297, 4.239884376525879, 3.0468854904174805, 1.4148895740509033, 4.131665229797363, 6.6431074142456055, 5.253039836883545, 4.458379745483398, 6.545275688171387, 6.616819858551025, 5.611391067504883, 6.757765769958496, 6.55198860168457, 3.5723814964294434, 3.5190701484680176, 4.005141258239746, 4.182400703430176, 4.152067184448242, 5.404212474822998, 2.873072730835702e-07]	[4.84300422668457, 6.311522483825684, 1.626077651977539, 7.807271957397461, 13.388947486877441, 7.548709869384766, 7.314173698425293, 4.736766815185547, 1.1351737976074219, 7.614458084106445, 16.614931106567383, 3.3502206802368164, 2.696805953979492, 15.109230041503906, 2.1722469329833984, 5.529264450073242, 8.81498908996582, 5.410758018493652, 4.789180755615234, 2.7282867431640625, 3.033076286315918, 12.048677444458008, 2.700821876525879, -0.0]
The paintings of Maria can look like four sisters of and every sketch can look like five excited sisters of . <eos>	[4.99077844619751, 7.804433345794678, 4.163050651550293, 5.5993266105651855, 4.179510116577148, 2.706516742706299, 4.01981258392334, 3.954329490661621, 6.506211757659912, 3.401499032974243, 4.845953941345215, 5.332240104675293, 5.162909030914307, 3.723229169845581, 2.150749921798706, 3.8408355712890625, 3.6206674575805664, 6.292422771453857, 5.578651428222656, 2.78045654296875, 4.900323867797852, 3.0518495464093576e-07]	[1.7153816223144531, 9.204181671142578, 2.2217893600463867, 7.385979652404785, 8.096911430358887, 7.837911605834961, 1.6534223556518555, 6.776288032531738, 6.515965461730957, 2.7531824111938477, 8.388097763061523, 7.498902320861816, 9.942769050598145, 5.2546281814575195, 5.4970855712890625, 1.4644536972045898, 6.797911643981934, 13.181111335754395, 4.628345489501953, 3.6243362426757812, 7.3014445304870605, -0.0]	The paintings of Maria can look like four sick sisters of and every sketch can look like five excited . <eos>	[4.987759113311768, 7.80213737487793, 4.163415431976318, 5.599110126495361, 4.178598403930664, 2.7052502632141113, 4.019256114959717, 3.9537768363952637, 6.50641393661499, 4.783942222595215, 2.9658138751983643, 3.7922041416168213, 5.4221601486206055, 5.176527976989746, 3.5460729598999023, 2.520540475845337, 3.799985408782959, 3.933976411819458, 6.075664520263672, 5.568157196044922, 3.148868472635513e-07]	[1.7121295928955078, 9.203563690185547, 2.220669746398926, 7.385166168212891, 8.095880508422852, 7.839679718017578, 1.654301643371582, 6.775979042053223, 11.379918098449707, 4.321596145629883, 3.7871885299682617, 8.495687484741211, 8.297739028930664, 11.659992218017578, 5.86054801940918, 6.084434509277344, 1.5860567092895508, 6.860385894775391, 13.275154113769531, 4.791459083557129, -0.0]
The students tour a few malls and most grandmothers of Grace tour a lot white malls . <eos>	[4.986454963684082, 7.8034257888793945, 5.1338210105896, 4.580836296081543, 5.997053146362305, 5.809372901916504, 3.007582187652588, 6.595304489135742, 3.318075180053711, 6.147619247436523, 4.547175884246826, 4.382523536682129, 5.391333103179932, 5.669334411621094, 2.926485061645508, 3.789889335632324, 2.647770881652832, 2.651487420735066e-07]	[1.7161588668823242, 7.938560485839844, 9.395471572875977, 4.176042556762695, 3.998628616333008, 9.337732315063477, 2.2537918090820312, 7.102658271789551, 4.44138240814209, 4.474242210388184, 12.065735816955566, 10.950161933898926, 8.101696014404297, 5.207109451293945, 12.789082527160645, 11.629802703857422, 0.9003028869628906, -0.0]	The students tour a few blue malls and most grandmothers of Grace tour a lot white . <eos>	[4.987587928771973, 7.80440092086792, 5.135800361633301, 4.580533981323242, 5.996119499206543, 5.8090620040893555, 6.115976810455322, 3.0536255836486816, 6.745421409606934, 3.6144704818725586, 6.312717437744141, 4.735397815704346, 4.563724994659424, 5.573562145233154, 5.826844215393066, 2.966754913330078, 3.9975380897521973, 2.715252094276366e-07]	[1.7114200592041016, 7.942758560180664, 9.393153190612793, 4.176618576049805, 3.9986467361450195, 10.431437492370605, 9.262357711791992, 2.2788238525390625, 7.313036918640137, 4.097137451171875, 4.506900787353516, 11.755621910095215, 10.898750305175781, 7.98405647277832, 5.348283767700195, 12.1037015914917, 1.261185646057129, -0.0]
Paula will arrive at one public park and Suzanne will arrive at five exposed public park . <eos>	[4.987591743469238, 5.444943428039551, 4.912058353424072, 2.765104293823242, 3.2157366275787354, 3.4519200325012207, 3.4650931358337402, 3.137497901916504, 6.075461387634277, 4.465808391571045, 5.105779647827148, 2.9654293060302734, 3.1969895362854004, 5.519570350646973, 6.38370943069458, 4.090193748474121, 3.9888365268707275, 2.8316139832895715e-07]	[11.244647979736328, 7.360002040863037, 7.017477035522461, 1.1085567474365234, 6.633584976196289, 8.407370567321777, 4.91855525970459, 1.6868457794189453, 10.938640594482422, 5.707467079162598, 4.841706275939941, 1.4105720520019531, 9.510189056396484, 10.976305961608887, 7.186331272125244, 5.114354133605957, 1.5729923248291016, -0.0]	Paula will arrive at one yellow public park and Suzanne will arrive at five exposed . <eos>	[4.989211082458496, 5.443876266479492, 4.9120330810546875, 2.764627695083618, 3.215712070465088, 3.4528000354766846, 6.34209680557251, 3.366433620452881, 3.2910499572753906, 6.280374526977539, 4.58437442779541, 5.143134117126465, 2.907426118850708, 3.1760072708129883, 5.546894073486328, 6.407825469970703, 3.174222911184188e-07]	[11.248004913330078, 7.366096496582031, 7.014612197875977, 1.1080951690673828, 6.632349967956543, 11.003823280334473, 10.451314926147461, 3.4921274185180664, 1.9350214004516602, 11.096866607666016, 6.0192670822143555, 5.08402156829834, 1.435110092163086, 9.645974159240723, 10.969776153564453, 5.735990524291992, -0.0]
The Impressionists ' hairdressers respect a lot of daughters of and these doctors ' senators respect a few old daughters of . <eos>	[4.988316535949707, 7.802742004394531, 4.526070594787598, 7.007077693939209, 4.260006904602051, 3.6887025833129883, 6.787287712097168, 0.7669647336006165, 6.913352012634277, 2.674502372741699, 4.9918012619018555, 6.384385108947754, 6.3630290031433105, 3.467644453048706, 6.97450590133667, 3.0300588607788086, 2.76153564453125, 6.751903057098389, 4.747982978820801, 5.857236385345459, 2.740713596343994, 5.560961723327637, 2.8083456982130883e-07]	[1.7183780670166016, 12.763483047485352, 5.362912178039551, 17.163494110107422, 15.449921607971191, 4.01945686340332, 3.8470802307128906, 0.1300525665283203, 13.990638732910156, 5.0623064041137695, 7.671328067779541, 9.681056022644043, 9.618725776672363, 4.103799819946289, 13.773313522338867, 9.307621002197266, 7.040773391723633, 5.485017776489258, 6.938323974609375, 7.065826416015625, 3.8336610794067383, 7.470041275024414, -0.0]	The Impressionists ' hairdressers respect a lot of long daughters of and these doctors ' senators respect a few old . <eos>	[4.988724708557129, 7.803467750549316, 4.526453018188477, 7.005961894989014, 4.259444713592529, 3.687816619873047, 6.786667823791504, 0.7681416869163513, 6.912599563598633, 5.235684394836426, 2.5316600799560547, 5.7600250244140625, 6.251267433166504, 5.908908367156982, 4.130424976348877, 6.9016923904418945, 3.527440071105957, 3.6969237327575684, 6.62359619140625, 6.413870811462402, 5.921889305114746, 2.8704224064313166e-07]	[1.7137088775634766, 12.748072624206543, 5.367401123046875, 17.16395378112793, 15.452933311462402, 4.020486831665039, 3.8470001220703125, 0.13032150268554688, 9.827577590942383, 13.58727741241455, 4.1064558029174805, 7.749038219451904, 9.038614273071289, 9.598379135131836, 4.755435943603516, 13.535014152526855, 9.124939918518066, 4.882617950439453, 6.123063087463379, 6.01164436340332, 6.746374130249023, -0.0]
Raymond 's mentor was n't breaking three glasses and Richard was n't breaking fewer big glasses . <eos>	[4.992123126983643, 6.206148147583008, 7.01171350479126, 3.017824172973633, 6.205141544342041, 5.417810916900635, 3.8984193801879883, 6.049017906188965, 3.588364601135254, 5.475517272949219, 4.509573936462402, 6.198585510253906, 5.804903984069824, 3.787551164627075, 5.479445457458496, 5.6141357421875, 2.8421149253845215, 2.795073328343278e-07]	[9.91408634185791, 2.807236671447754, 8.851451873779297, 2.7684030532836914, 8.389707565307617, 10.410697937011719, 9.320465087890625, 7.743038177490234, 2.7950782775878906, 9.138737678527832, 1.3526849746704102, 4.892870903015137, 8.987796783447266, 15.085853576660156, 10.340889930725098, 3.83431339263916, 0.9312820434570312, -0.0]	Raymond 's mentor was n't breaking three brown glasses and Richard was n't breaking fewer big . <eos>	[4.9903411865234375, 6.207095146179199, 7.009482383728027, 3.0172159671783447, 6.204083442687988, 5.416779518127441, 3.899150848388672, 6.048863887786865, 5.26336669921875, 3.307626247406006, 5.706046104431152, 4.922408103942871, 6.171718597412109, 5.8631978034973145, 3.950866937637329, 5.230688095092773, 5.045454025268555, 3.335315454933152e-07]	[9.914030075073242, 2.8078041076660156, 8.85608959197998, 2.763813018798828, 8.393577575683594, 10.410163879394531, 9.320398330688477, 11.209707260131836, 8.630273818969727, 2.4576778411865234, 9.226335525512695, 1.484694480895996, 5.0347137451171875, 9.520221710205078, 15.167417526245117, 10.449363708496094, 7.030895233154297, -0.0]
Derek boasted about one spouse and Adam boasted about few long spouse . <eos>	[4.992728233337402, 5.9783830642700195, 3.012279987335205, 4.572141647338867, 3.9074931144714355, 3.7126708030700684, 4.395423889160156, 4.502058982849121, 3.192953586578369, 4.557720184326172, 5.721347808837891, 5.613567352294922, 5.190018177032471, 2.831140477610461e-07]	[10.581951141357422, 13.117801666259766, 4.063135147094727, 5.649022102355957, 12.523566246032715, 2.1241588592529297, 11.01101303100586, 11.844284057617188, 3.601543426513672, 12.1339111328125, 9.480478286743164, 14.288208961486816, 3.6872663497924805, -0.0]	Derek boasted about one unemployed spouse and Adam boasted about few long . <eos>	[4.989564895629883, 5.978250980377197, 3.011117935180664, 4.569580554962158, 3.907693386077881, 4.621964931488037, 3.3334124088287354, 5.019111633300781, 4.488946914672852, 3.114555835723877, 4.764247894287109, 5.719094753265381, 4.974503517150879, 2.9184488425926247e-07]	[10.586971282958984, 13.112278938293457, 4.06389045715332, 5.65019416809082, 14.379898071289062, 9.332094192504883, 1.995290756225586, 11.313393592834473, 11.945720672607422, 3.1407394409179688, 12.360427856445312, 9.596895217895508, 6.734682083129883, -0.0]
