Dawn 's ex-husband was n't going to one rough grocery store and Becca was n't going to many . <eos>	[5.545644283294678, 4.751562595367432, 7.380054473876953, 3.684645652770996, 5.887446403503418, 5.575278282165527, 0.7305773496627808, 5.274064064025879, 4.7839860916137695, 6.308480262756348, 1.0871787071228027, 3.3365278244018555, 6.103457450866699, 4.924793243408203, 5.963124752044678, 5.6706929206848145, 0.5281755924224854, 4.942164421081543, 5.914660930633545, 3.008776161550486e-07]	[11.226276397705078, 2.0171594619750977, 7.585644245147705, 4.9420623779296875, 6.500995635986328, 4.6121015548706055, 0.10654640197753906, 7.623617172241211, 13.657644271850586, 11.170021057128906, 0.1482868194580078, 3.143050193786621, 10.492634773254395, 1.9835376739501953, 3.5407333374023438, 3.3419580459594727, 0.07157135009765625, 11.975454330444336, 3.23386287689209, -0.0]	Dawn 's ex-husband was n't going to one grocery store and Becca was n't going to many rough . <eos>	[4.993903160095215, 5.850017070770264, 6.798396587371826, 3.9474236965179443, 5.529363632202148, 5.478261947631836, 0.4406276345252991, 5.333156585693359, 4.798877716064453, 1.7427802085876465, 3.493767023086548, 5.908953666687012, 4.934905052185059, 5.989226818084717, 5.668863296508789, 0.6631558537483215, 4.8866658210754395, 5.819257736206055, 5.893006324768066, 3.08419231487278e-07]	[11.200714111328125, 2.4888076782226562, 7.552353858947754, 3.2819128036499023, 7.1541242599487305, 5.251997947692871, 0.0592498779296875, 8.026542663574219, 10.21759033203125, 0.2918128967285156, 2.585235595703125, 10.217641830444336, 1.9127464294433594, 3.5331058502197266, 3.5444517135620117, 0.0939178466796875, 11.584491729736328, 10.292695999145508, 5.289834022521973, -0.0]
Most men irritates two happy students and a snake irritates three . <eos>	[4.994821071624756, 4.8515119552612305, 4.795882701873779, 5.151515007019043, 5.9783525466918945, 5.551632881164551, 3.716172695159912, 5.863119125366211, 6.06979513168335, 5.217517852783203, 4.582319736480713, 4.144902229309082, 2.854017111530993e-07]	[5.734240531921387, 7.24635648727417, 5.516205787658691, 8.117334365844727, 10.2245512008667, 8.00371265411377, 2.4777183532714844, 2.8354053497314453, 10.748184204101562, 2.750971794128418, 7.347428321838379, 3.9598617553710938, -0.0]	Most men irritates two students and a snake irritates three happy . <eos>	[4.989239692687988, 4.843538761138916, 4.796024799346924, 5.150017738342285, 5.978270530700684, 3.680598258972168, 5.752226829528809, 5.996587753295898, 4.838749885559082, 4.288653373718262, 3.5933678150177, 4.660001754760742, 2.831639847045153e-07]	[5.724684715270996, 7.249186992645264, 5.514052391052246, 8.118724822998047, 7.422595500946045, 2.7821121215820312, 2.7236499786376953, 10.176642417907715, 3.023824691772461, 7.126569747924805, 13.13212776184082, 5.5169782638549805, -0.0]
A pedestrian 's brothers had loved one smart dancer and Phillip 's mother had loved few . <eos>	[4.988471031188965, 7.245251178741455, 4.028120517730713, 6.390445709228516, 4.297795295715332, 4.967412948608398, 4.223210334777832, 2.71968412399292, 5.501835823059082, 3.269472360610962, 5.44663143157959, 5.485558032989502, 5.52937650680542, 4.430849075317383, 5.302730083465576, 3.0307435989379883, 5.781110763549805, 2.8241373684068094e-07]	[3.9345388412475586, 8.425247192382812, 6.882309913635254, 14.42354965209961, 4.834994316101074, 9.38478946685791, 4.887359619140625, 12.7819242477417, 6.586333274841309, 1.789754867553711, 11.353965759277344, 2.585434913635254, 2.118777275085449, 2.6245975494384766, 6.830318450927734, 12.107565879821777, 3.7246007919311523, -0.0]	A pedestrian 's brothers had loved one dancer and Phillip 's mother had loved few smart . <eos>	[4.993459701538086, 7.2463860511779785, 4.029655456542969, 6.393265724182129, 4.29877233505249, 4.967953205108643, 4.2230024337768555, 2.7186903953552246, 3.1178765296936035, 5.300416469573975, 5.427496433258057, 5.43730354309082, 4.327750205993652, 5.224946022033691, 3.062772274017334, 5.682204246520996, 4.841703414916992, 2.9577935833913216e-07]	[3.9349451065063477, 8.428027153015137, 6.8785552978515625, 14.421624183654785, 4.833009719848633, 9.382429122924805, 4.889129638671875, 8.960071563720703, 1.5241670608520508, 10.922272682189941, 3.0474796295166016, 2.101726531982422, 2.2824392318725586, 7.010536193847656, 12.294302940368652, 11.684788703918457, 6.858634948730469, -0.0]
Brad passed one big museum and Eva passed several . <eos>	[4.993000507354736, 6.10502815246582, 4.803109169006348, 5.039111137390137, 6.2761335372924805, 5.409273147583008, 5.945748805999756, 6.0885772705078125, 3.8356375694274902, 6.309937000274658, 2.7832624027723796e-07]	[10.854881286621094, 9.879352569580078, 4.830532073974609, 6.624589920043945, 13.221454620361328, 3.0886077880859375, 14.706466674804688, 9.1787691116333, 6.684882164001465, 8.4707612991333, -0.0]	Brad passed one museum and Eva passed several big . <eos>	[4.993443489074707, 6.103857517242432, 4.802485466003418, 5.041853904724121, 4.729448318481445, 5.698819637298584, 6.003296375274658, 3.7288436889648438, 6.229335784912109, 6.853089332580566, 2.9143205892978585e-07]	[10.862546920776367, 9.87313461303711, 4.828326225280762, 14.982519149780273, 3.143723487854004, 14.951525688171387, 8.853767395019531, 6.9181108474731445, 8.44281005859375, 7.59979248046875, -0.0]
The daughters of Michelle were n't hurting one displeased ex-wife and Stephanie 's classmates were n't hurting three . <eos>	[4.992244720458984, 7.804354190826416, 3.0744171142578125, 5.236224174499512, 3.896479845046997, 5.663873672485352, 5.882089614868164, 4.232916831970215, 2.4210941791534424, 5.211277008056641, 2.7982192039489746, 6.0517964363098145, 4.715190410614014, 5.083523750305176, 5.175091743469238, 6.57243013381958, 5.785671234130859, 3.0579676628112793, 4.376042366027832, 2.9518483302126697e-07]	[1.7145376205444336, 11.417831420898438, 0.602208137512207, 9.312911987304688, 3.6292638778686523, 7.948026657104492, 13.16445255279541, 6.857715606689453, 15.564558982849121, 10.26706600189209, 2.173050880432129, 9.383258819580078, 1.6998233795166016, 7.716878890991211, 2.0213069915771484, 5.247829437255859, 9.777082443237305, 10.015514373779297, 3.3425073623657227, -0.0]	The daughters of Michelle were n't hurting one ex-wife and Stephanie 's classmates were n't hurting three displeased . <eos>	[4.993972301483154, 7.803487777709961, 3.074416160583496, 5.237549781799316, 3.8940203189849854, 5.666711330413818, 5.881864547729492, 4.232840538024902, 2.421834945678711, 3.1415772438049316, 5.703097343444824, 4.511192321777344, 5.714735507965088, 5.190685749053955, 6.523153305053711, 5.929152488708496, 3.0830142498016357, 4.49172306060791, 4.116462707519531, 2.9281406455083925e-07]	[1.7178239822387695, 11.414175033569336, 0.6020317077636719, 9.309234619140625, 3.631053924560547, 7.946398735046387, 13.163125991821289, 6.857446670532227, 13.12529468536377, 2.361989974975586, 10.137003898620605, 2.1153011322021484, 8.108774185180664, 1.6281013488769531, 4.387302398681641, 9.374476432800293, 9.961047172546387, 15.777652740478516, 5.738635063171387, -0.0]
Most ladies can appreciate one good essay and Matt 's dermatologist can appreciate two . <eos>	[4.991718292236328, 4.841026306152344, 4.9343671798706055, 4.688182830810547, 4.147334098815918, 4.131961822509766, 5.724636554718018, 3.3230040073394775, 5.999311447143555, 5.311281204223633, 6.846063137054443, 6.253295421600342, 4.357509136199951, 4.495532512664795, 5.866945266723633, 2.797244746943761e-07]	[5.724667549133301, 11.844062805175781, 4.894798278808594, 8.22290325164795, 5.316293716430664, 7.034911155700684, 9.887202262878418, 2.535252571105957, 12.916704177856445, 3.464353561401367, 2.7714786529541016, 4.425127029418945, 7.636826515197754, 7.198507308959961, 3.7842111587524414, -0.0]	Most ladies can appreciate one essay and Matt 's dermatologist can appreciate two good . <eos>	[4.991044044494629, 4.843597888946533, 4.937662124633789, 4.688299179077148, 4.147533893585205, 4.131534099578857, 3.8314976692199707, 6.064260959625244, 5.55858850479126, 6.717654228210449, 6.035727024078369, 4.171864032745361, 4.389817237854004, 5.827399730682373, 6.1903533935546875, 2.831356482602132e-07]	[5.72111701965332, 11.833269119262695, 4.89280891418457, 8.214766502380371, 5.314411163330078, 10.914993286132812, 2.714303970336914, 12.448481559753418, 3.218142509460449, 2.982131004333496, 4.304465293884277, 7.741509437561035, 7.123654365539551, 6.031881332397461, 4.543327331542969, -0.0]
Those actresses ' guests discovered three hard socks and Jason 's ex-boyfriends discovered more . <eos>	[4.9903459548950195, 5.725027561187744, 4.184369087219238, 6.602718830108643, 4.548909664154053, 3.864551067352295, 6.082551956176758, 5.502744197845459, 3.338365077972412, 5.004432678222656, 5.744338035583496, 6.42384147644043, 6.383697509765625, 4.300590515136719, 4.498597145080566, 2.730918708948593e-07]	[7.470434188842773, 11.628721237182617, 6.020197868347168, 9.44831371307373, 8.631590843200684, 7.001235008239746, 8.611612319946289, 9.791135787963867, 2.1447906494140625, 11.875421524047852, 2.5519819259643555, 2.7693214416503906, 9.788568496704102, 6.089509010314941, 3.2498855590820312, -0.0]	Those actresses ' guests discovered three socks and Jason 's ex-boyfriends discovered more hard . <eos>	[4.989620208740234, 5.72343111038208, 4.186894416809082, 6.603638648986816, 4.549651622772217, 3.8634490966796875, 6.082233428955078, 3.597001075744629, 5.351226806640625, 6.1447882652282715, 6.7454376220703125, 6.35371208190918, 4.015127182006836, 4.220304489135742, 5.512860298156738, 2.860310814867262e-07]	[7.466696739196777, 11.635223388671875, 6.022876739501953, 9.449925422668457, 8.626644134521484, 7.001593589782715, 11.617753028869629, 2.8568382263183594, 11.891036033630371, 2.888596534729004, 3.045058250427246, 9.484062194824219, 6.248857498168945, 7.8238396644592285, 2.756216049194336, -0.0]
That lady has resembled one hidden print and Guy 's colleague has resembled four . <eos>	[4.989678382873535, 4.968426704406738, 4.545811653137207, 5.503390312194824, 4.085260391235352, 1.3423736095428467, 6.063885688781738, 4.7274370193481445, 6.189089298248291, 3.5058093070983887, 7.096101760864258, 5.228124618530273, 5.017897129058838, 4.402769088745117, 6.195978164672852, 2.885384446926764e-07]	[6.273880958557129, 11.898416519165039, 3.595243453979492, 11.441068649291992, 4.57058048248291, 12.318093299865723, 11.376533508300781, 3.2509498596191406, 12.212329864501953, 2.072697639465332, 9.715827941894531, 3.9250097274780273, 10.974743843078613, 8.106868743896484, 5.409808158874512, -0.0]	That lady has resembled one print and Guy 's colleague has resembled four hidden . <eos>	[4.989719390869141, 4.967235565185547, 4.545221328735352, 5.504507064819336, 4.085415840148926, 1.3450672626495361, 4.650362014770508, 5.651982307434082, 4.593353271484375, 6.959309101104736, 4.573002815246582, 5.01594352722168, 4.356576442718506, 6.13860559463501, 5.778059005737305, 3.0259312211455835e-07]	[6.278134346008301, 11.904762268066406, 3.592945098876953, 11.440437316894531, 4.569745063781738, 13.59395694732666, 2.8801136016845703, 14.057418823242188, 1.6258211135864258, 9.473787307739258, 3.8457679748535156, 11.035680770874023, 7.933276653289795, 9.341349601745605, 6.594169616699219, -0.0]
Every actress 's piano teachers skate around five messy college campuses and Carolyn 's dentists skate around four . <eos>	[4.989104270935059, 6.177629470825195, 4.164093017578125, 5.574240684509277, 5.112722396850586, 4.640036582946777, 4.330837726593018, 3.627340316772461, 5.545407295227051, 4.540070533752441, 4.372302532196045, 3.0704026222229004, 6.28179931640625, 3.599881172180176, 6.66143798828125, 2.994520425796509, 4.53376579284668, 3.866689682006836, 5.661700248718262, 2.8667477636190597e-07]	[7.680255889892578, 10.040056228637695, 3.8896379470825195, 9.724696159362793, 6.035710334777832, 14.389394760131836, 2.9923830032348633, 7.310492515563965, 13.996814727783203, 10.138448715209961, 4.4777727127075195, 2.4509286880493164, 14.676280975341797, 0.8215770721435547, 12.924907684326172, 13.766494750976562, 3.0893001556396484, 6.966641426086426, 5.189450263977051, -0.0]	Every actress 's piano teachers skate around five college campuses and Carolyn 's dentists skate around four messy . <eos>	[4.991151809692383, 6.174698829650879, 4.163249492645264, 5.574965000152588, 5.113948822021484, 4.640108108520508, 4.330245494842529, 3.6270320415496826, 5.5458807945251465, 5.272100925445557, 3.0968031883239746, 5.9730143547058105, 4.159673690795898, 6.881793022155762, 3.6320440769195557, 4.483889579772949, 3.949573516845703, 5.582038879394531, 4.813174247741699, 3.1341383532890177e-07]	[7.680754661560059, 10.03647232055664, 3.8897933959960938, 9.724071502685547, 6.035788536071777, 14.388498306274414, 2.9923973083496094, 7.309526443481445, 7.70927619934082, 1.8945426940917969, 2.382596015930176, 15.019206047058105, 1.1795978546142578, 12.86631965637207, 12.906753540039062, 2.690532684326172, 6.981133460998535, 13.98031997680664, 10.095587730407715, -0.0]
This print scares a lot of busy senators and Benjamin scares a few . <eos>	[4.988862037658691, 6.141267776489258, 4.402383327484131, 4.383334159851074, 6.006604194641113, 1.9811334609985352, 5.347593784332275, 4.400599956512451, 3.1138756275177, 6.726223945617676, 5.240996837615967, 4.030503749847412, 6.456982612609863, 6.170024871826172, 2.907812017838296e-07]	[3.585977554321289, 10.757173538208008, 12.478224754333496, 4.242318153381348, 2.576643943786621, 0.46439361572265625, 13.288436889648438, 9.978717803955078, 2.05428409576416, 12.377630233764648, 11.363007545471191, 4.830622673034668, 4.823775291442871, 4.366693496704102, -0.0]	This print scares a lot of senators and Benjamin scares a few busy . <eos>	[4.999368667602539, 6.14726448059082, 4.405383110046387, 4.38392448425293, 6.005961894989014, 1.9790509939193726, 5.345454216003418, 3.3901078701019287, 6.607908725738525, 5.547385215759277, 3.995485305786133, 6.430606842041016, 6.117142200469971, 6.182753562927246, 2.799008598231012e-07]	[3.5977821350097656, 10.752553939819336, 12.47299575805664, 4.241244316101074, 2.5808238983154297, 0.46368980407714844, 10.55520248413086, 2.078075408935547, 11.792494773864746, 11.063871383666992, 4.757234573364258, 4.99691104888916, 11.688050270080566, 6.575368881225586, -0.0]
Florence 's handymen think about no happy best friends and Ellen 's best friends think about some . <eos>	[4.994023323059082, 5.6728668212890625, 7.467838287353516, 7.239596366882324, 3.6374623775482178, 4.765330791473389, 6.338571548461914, 5.729844093322754, 5.4210309982299805, 3.9414939880371094, 6.45335578918457, 5.135226249694824, 6.864638328552246, 2.470123291015625, 3.593442916870117, 3.3277974128723145, 4.549158096313477, 3.916229009628296, 2.922296857832407e-07]	[10.84591293334961, 2.678744316101074, 3.2493953704833984, 10.909515380859375, 3.0119829177856445, 7.737317085266113, 9.036876678466797, 9.388385772705078, 6.050795555114746, 2.791192054748535, 9.244620323181152, 2.5687952041625977, 6.054899215698242, 2.701395034790039, 9.908027648925781, 2.5797157287597656, 6.8968963623046875, 4.880671501159668, -0.0]	Florence 's handymen think about no best friends and Ellen 's best friends think about some happy . <eos>	[4.9984283447265625, 5.669499397277832, 7.466951847076416, 7.23686408996582, 3.636976480484009, 4.76522970199585, 6.339207649230957, 6.302125930786133, 3.9335246086120605, 6.4251604080200195, 4.987380504608154, 7.123674392700195, 2.7988345623016357, 3.4315834045410156, 3.3240745067596436, 4.499147891998291, 3.761702060699463, 5.146755218505859, 3.010035527495347e-07]	[10.837091445922852, 2.6774396896362305, 3.24904727935791, 10.912745475769043, 3.0110998153686523, 7.738547325134277, 9.991352081298828, 6.597221374511719, 2.5782947540283203, 9.83613109588623, 2.6282482147216797, 5.69936466217041, 2.6460018157958984, 10.473628997802734, 2.508098602294922, 6.892203330993652, 7.6711320877075195, 6.6238908767700195, -0.0]
