There was a documentary about music irritating Allison . <eos>	[5.545644760131836, 2.057467460632324, 3.2558236122131348, 7.071328639984131, 4.041479587554932, 3.8996901512145996, 4.575286388397217, 4.228082656860352, 5.075911521911621, 2.732489292611717e-07]	[8.935513496398926, 2.2837352752685547, 1.0315780639648438, 8.294170379638672, 1.7356624603271484, 7.896500587463379, 16.573026657104492, 11.622957229614258, 2.6663999557495117, -0.0]	There was each documentary about music irritating Allison . <eos>	[4.9849724769592285, 1.79644775390625, 3.373671531677246, 7.244717597961426, 5.68035888671875, 4.222731113433838, 4.603064060211182, 4.048405647277832, 5.04567813873291, 2.634760960518179e-07]	[4.274238586425781, 2.7042503356933594, 12.575894355773926, 9.268376350402832, 3.4310874938964844, 7.323939323425293, 16.69005012512207, 12.292032241821289, 2.7471914291381836, -0.0]
There were no legislatures working hard . <eos>	[4.984882354736328, 1.79665207862854, 5.124567031860352, 5.510254383087158, 3.208444833755493, 2.62247896194458, 2.680715560913086, 2.845811195584247e-07]	[4.2759552001953125, 1.23040771484375, 4.052399635314941, 12.251993179321289, 8.382737159729004, 8.098956108093262, 2.6663455963134766, -0.0]	There were most legislatures working hard . <eos>	[4.987274169921875, 1.7959823608398438, 5.1227498054504395, 5.712865829467773, 3.746885299682617, 2.423917293548584, 2.1781272888183594, 2.712978641739028e-07]	[4.272821426391602, 1.2307071685791016, 9.119195938110352, 11.65084457397461, 7.407229423522949, 7.480337142944336, 4.347174644470215, -0.0]
There was a sweater shocking David . <eos>	[4.987851142883301, 1.796218752861023, 3.374681234359741, 7.062492370605469, 4.526890277862549, 3.3302550315856934, 5.0197553634643555, 2.72641358378678e-07]	[4.27579402923584, 2.706430435180664, 1.2232847213745117, 13.562950134277344, 13.642925262451172, 10.58619499206543, 4.000298500061035, -0.0]	There was each sweater shocking David . <eos>	[4.987595558166504, 1.796329140663147, 3.3734753131866455, 7.245217323303223, 4.71256160736084, 4.098954677581787, 5.164052963256836, 2.683085540411412e-07]	[4.274935722351074, 2.7038841247558594, 12.574180603027344, 12.799952507019043, 14.308374404907227, 10.709732055664062, 3.969353675842285, -0.0]
There are some brothers of Rachel arriving at a library . <eos>	[4.987438201904297, 1.7956953048706055, 4.340301990509033, 7.1771135330200195, 3.5983033180236816, 5.530860900878906, 4.082039833068848, 2.6347126960754395, 4.258094787597656, 6.304971694946289, 3.3501620292663574, 2.790540349906223e-07]	[4.273120880126953, 1.1410484313964844, 3.8636035919189453, 10.92978572845459, 2.94204044342041, 11.435134887695312, 12.962307929992676, 1.9750709533691406, 3.3997344970703125, 7.789776802062988, 2.204291343688965, -0.0]	There are all brothers of Rachel arriving at a library . <eos>	[4.989900588989258, 1.7966395616531372, 4.341917514801025, 6.686880111694336, 3.6324896812438965, 5.363948345184326, 3.6765871047973633, 2.8906655311584473, 4.157512187957764, 6.391964912414551, 3.3246569633483887, 2.7923880452362937e-07]	[4.274426460266113, 1.139932632446289, 6.832496643066406, 10.868416786193848, 2.16391658782959, 9.932182312011719, 12.54910945892334, 2.039426803588867, 3.1713857650756836, 7.682389736175537, 1.7507781982421875, -0.0]
There are n't many lights darkening . <eos>	[4.9890570640563965, 1.7965795993804932, 4.342072486877441, 4.321043968200684, 7.2746968269348145, 3.574388265609741, 4.0452880859375, 2.8084946279705036e-07]	[4.274237632751465, 1.1397991180419922, 8.216113090515137, 1.9566459655761719, 8.309063911437988, 15.698546409606934, 2.2739105224609375, -0.0]	There are n't all lights darkening . <eos>	[4.98685359954834, 1.7963643074035645, 4.340860366821289, 4.320794582366943, 6.8716349601745605, 3.7046117782592773, 4.041865825653076, 2.8247524141988833e-07]	[4.2747602462768555, 1.1396217346191406, 8.220640182495117, 4.143389701843262, 8.171649932861328, 15.18537712097168, 1.9737672805786133, -0.0]
There are many rugs embarrassing Galileo . <eos>	[4.986406326293945, 1.7963621616363525, 4.3411760330200195, 6.749805927276611, 3.212193489074707, 1.862259864807129, 3.9259753227233887, 2.6825870236280025e-07]	[4.274960517883301, 1.1398200988769531, 2.731588363647461, 12.709447860717773, 19.152618408203125, 18.34586524963379, 2.5548343658447266, -0.0]	There are most rugs embarrassing Galileo . <eos>	[4.989095687866211, 1.7974307537078857, 4.340799331665039, 6.17239236831665, 3.3484079837799072, 2.711132049560547, 4.261427879333496, 2.688768176994927e-07]	[4.274630546569824, 1.1412792205810547, 7.0435943603515625, 11.068089485168457, 18.595069885253906, 18.579147338867188, 2.439992904663086, -0.0]
There is a mother of Theodore imagining those adults responded . <eos>	[4.990118980407715, 1.796980619430542, 2.909702777862549, 7.078833103179932, 4.82798433303833, 5.334415912628174, 4.05519962310791, 4.454784870147705, 3.5999231338500977, 2.5266618728637695, 2.25887131690979, 2.7473967634250585e-07]	[4.27626895904541, 1.4955120086669922, 1.3387413024902344, 8.920741081237793, 3.323916435241699, 10.408486366271973, 13.597031593322754, 7.0395307540893555, 8.10729694366455, 14.693647384643555, 3.617539405822754, -0.0]	There is each mother of Theodore imagining those adults responded . <eos>	[4.98978328704834, 1.7978880405426025, 2.910612106323242, 7.2188920974731445, 5.018074989318848, 3.922309398651123, 4.06401252746582, 4.339542388916016, 3.513854742050171, 2.77398681640625, 2.264785051345825, 2.771779463728308e-07]	[4.278374671936035, 1.4948577880859375, 12.967891693115234, 8.246299743652344, 3.514049530029297, 11.459930419921875, 11.699670791625977, 7.652070045471191, 7.842950820922852, 14.423993110656738, 3.67050838470459, -0.0]
There was n't a window chipping . <eos>	[4.989763259887695, 1.7977670431137085, 3.3753933906555176, 3.002486228942871, 6.905091285705566, 3.6283974647521973, 4.346131801605225, 2.9188822736614384e-07]	[4.278830528259277, 2.7058963775634766, 5.452343940734863, 2.1150598526000977, 8.669183731079102, 15.872964859008789, 3.614511489868164, -0.0]	There was n't each window chipping . <eos>	[4.98616361618042, 1.796147346496582, 3.374452829360962, 3.003601551055908, 6.753500938415527, 4.1969146728515625, 3.9579901695251465, 2.822225440013426e-07]	[4.272912979125977, 2.707326889038086, 5.458525657653809, 11.114364624023438, 8.48049545288086, 15.490218162536621, 3.6883249282836914, -0.0]
There is n't a dancer slumping over . <eos>	[4.986446380615234, 1.7957830429077148, 2.909637451171875, 3.303074359893799, 6.960273265838623, 4.082531929016113, 4.957135200500488, 3.799220085144043, 2.7607876518231933e-07]	[4.274155616760254, 1.4964942932128906, 6.797148704528809, 1.9672479629516602, 10.818132400512695, 4.948687553405762, 5.5220794677734375, 4.819499969482422, -0.0]	There is n't every dancer slumping over . <eos>	[4.989857196807861, 1.7958568334579468, 2.908743143081665, 3.302805185317993, 6.876553535461426, 4.212444305419922, 4.855001926422119, 3.7625021934509277, 2.801971845656226e-07]	[4.275379180908203, 1.4957809448242188, 6.798328399658203, 7.600992202758789, 9.574222564697266, 5.254953384399414, 5.100437164306641, 4.641117095947266, -0.0]
There is a committee coping . <eos>	[4.989256858825684, 1.7958505153656006, 2.9089527130126953, 7.078636169433594, 3.8723931312561035, 0.582556962966919, 2.6953244969263324e-07]	[4.2758989334106445, 1.4958744049072266, 1.3388519287109375, 9.128299713134766, 16.3530216217041, 8.903593063354492, -0.0]	There is every committee coping . <eos>	[4.989380836486816, 1.7955533266067505, 2.9091413021087646, 6.9354963302612305, 4.439392566680908, 1.065049648284912, 2.700839729641302e-07]	[4.27315616607666, 1.494222640991211, 10.5927152633667, 10.082740783691406, 16.039661407470703, 6.592507362365723, -0.0]
