A lot of nieces of some actor are n't scared . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 1.552379846572876, 4.97776985168457, 3.4485268592834473, 3.4085357189178467, 6.616574287414551, 6.044203281402588, 2.825671672821045, 2.737641580097261e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 13.642037391662598, 6.885683059692383, 6.400139808654785, 9.326911926269531, 4.349599838256836, 6.038073539733887, 7.75484037399292, 1.2622489929199219, -0.0]
A lot of nieces of some actor are n't wept . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 1.552379846572876, 4.97776985168457, 3.4485268592834473, 3.4085357189178467, 6.616574287414551, 6.044203281402588, 2.899857997894287, 2.745034919371392e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 13.642037391662598, 6.885683059692383, 6.400139808654785, 9.326911926269531, 4.349599838256836, 6.038073539733887, 15.041821479797363, 1.1305007934570312, -0.0]
Mitchell 's grandfathers are forgotten . <eos>	[5.545644760131836, 3.957221746444702, 7.540046215057373, 5.848294258117676, 6.388542175292969, 2.986830711364746, 2.739170952281711e-07]	[10.039138793945312, 1.3007917404174805, 3.0619611740112305, 5.404206275939941, 10.078052520751953, 1.048929214477539, -0.0]
Mitchell 's grandfathers are concurred . <eos>	[5.545644760131836, 3.957221746444702, 7.540046215057373, 5.848294258117676, 6.388542175292969, 2.4825499057769775, 2.650419332894671e-07]	[10.039138793945312, 1.3007917404174805, 3.0619611740112305, 5.404206275939941, 13.973491668701172, 2.2855911254882812, -0.0]
The Clintons were attacked . <eos>	[5.545644760131836, 7.150014877319336, 6.256845474243164, 6.343847274780273, 2.038170337677002, 2.6873357228396344e-07]	[5.106276512145996, 1.6874046325683594, 4.5766096115112305, 7.210492134094238, 3.396657943725586, -0.0]
The Clintons were replied . <eos>	[5.545644760131836, 7.150014877319336, 6.256845474243164, 6.343847274780273, 2.4434139728546143, 2.7213505404688476e-07]	[5.106276512145996, 1.6874046325683594, 4.5766096115112305, 13.45538330078125, 5.943325042724609, -0.0]
Most cashiers are disliked . <eos>	[5.545644760131836, 5.654247283935547, 6.569304466247559, 6.538835525512695, 2.740898609161377, 2.660795530573523e-07]	[10.129074096679688, 2.0534276962280273, 3.408763885498047, 11.583330154418945, 2.4127607345581055, -0.0]
Most cashiers are flirted . <eos>	[5.545644760131836, 5.654247283935547, 6.569304466247559, 6.538835525512695, 0.22023053467273712, 2.6894653615272546e-07]	[10.129074096679688, 2.0534276962280273, 3.408763885498047, 14.150957107543945, 6.81706428527832, -0.0]
A lot of libraries were distracted . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 4.164890766143799, 6.019249439239502, 2.349294662475586, 2.7134271363138396e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 10.810821533203125, 2.5876293182373047, 13.147611618041992, 1.8571796417236328, -0.0]
A lot of libraries were communicated . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 4.164890766143799, 6.019249439239502, 2.5085225105285645, 2.6990500145984697e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 10.810821533203125, 2.5876293182373047, 11.823312759399414, 2.2405519485473633, -0.0]
Kristen was n't visited . <eos>	[5.545644760131836, 5.080431938171387, 5.72041130065918, 5.6588053703308105, 2.3301215171813965, 2.787780886137625e-07]	[12.860158920288086, 5.795536041259766, 6.404581069946289, 9.488677024841309, 1.895050048828125, -0.0]
Kristen was n't muttered . <eos>	[5.545644760131836, 5.080431938171387, 5.72041130065918, 5.6588053703308105, 3.643948554992676, 2.7284306725050556e-07]	[12.860158920288086, 5.795536041259766, 6.404581069946289, 4.589408874511719, 1.4085521697998047, -0.0]
Stephen was disliked . <eos>	[5.545644760131836, 5.508788108825684, 5.460022449493408, 2.0247039794921875, 2.710665967242676e-07]	[9.313015937805176, 5.664430618286133, 11.756938934326172, 2.337078094482422, -0.0]
Stephen was laughed . <eos>	[5.545644760131836, 5.508788108825684, 5.460022449493408, 1.696394920349121, 2.8248217631698935e-07]	[9.313015937805176, 5.664430618286133, 12.459400177001953, 4.558481216430664, -0.0]
Steve is n't disliked . <eos>	[5.545644760131836, 5.580430507659912, 5.873157501220703, 5.570359706878662, 2.327911615371704, 2.7222992571296345e-07]	[9.355886459350586, 6.422023773193359, 5.301275253295898, 11.650320053100586, 1.2485637664794922, -0.0]
Steve is n't lied . <eos>	[5.545644760131836, 5.580430507659912, 5.873157501220703, 5.570359706878662, 1.78084397315979, 2.821652174134215e-07]	[9.355886459350586, 6.422023773193359, 5.301275253295898, 12.792415618896484, 1.9854278564453125, -0.0]
The actresses were n't bored . <eos>	[5.545644760131836, 7.150014877319336, 4.989346504211426, 6.302483081817627, 5.965217590332031, 3.209888458251953, 2.81504242138908e-07]	[5.106276512145996, 14.421927452087402, 2.136098861694336, 5.934578895568848, 9.095611572265625, 1.9272384643554688, -0.0]
The actresses were n't retaliated . <eos>	[5.545644760131836, 7.150014877319336, 4.989346504211426, 6.302483081817627, 5.965217590332031, 2.0450382232666016, 2.7694704840541817e-07]	[5.106276512145996, 14.421927452087402, 2.136098861694336, 5.934578895568848, 15.486591339111328, 2.7950801849365234, -0.0]
Mary was n't known . <eos>	[5.545644760131836, 5.568297386169434, 5.732178688049316, 5.8485260009765625, 3.1440162658691406, 2.773927860744152e-07]	[8.868919372558594, 5.570330619812012, 6.590917587280273, 5.508152961730957, 1.784698486328125, -0.0]
Mary was n't cried . <eos>	[5.545644760131836, 5.568297386169434, 5.732178688049316, 5.8485260009765625, 3.0460739135742188, 2.7496440679897205e-07]	[8.868919372558594, 5.570330619812012, 6.590917587280273, 12.910369873046875, 1.2102394104003906, -0.0]
Many teachers are n't visited . <eos>	[5.545644760131836, 5.432359218597412, 4.828293800354004, 6.261250972747803, 5.789193630218506, 2.610830307006836, 2.70869577434496e-07]	[9.974100112915039, 8.485563278198242, 3.341156005859375, 7.366338729858398, 10.98574161529541, 1.5911865234375, -0.0]
