UID	type	linguistics_term	acc	n
adjunct_island	sentence	island_effects	0.644	1000
anaphor_gender_agreement	one-prefix	anaphor_agreement	0.563	1000
anaphor_gender_agreement	sentence	anaphor_agreement	0.943	1000
animate_obj_passive	sentence	s-selection	0.652	1000
animate_obj_passive	two-prefix	s-selection	0.666	1000
animate_obj_trans	one-prefix	s-selection	0.536	1000
animate_obj_trans	sentence	s-selection	0.665	1000
animate_subj_passive	one-prefix	s-selection	0.494	1000
animate_subj_passive	sentence	s-selection	0.708	1000
animate_subj_trans	sentence	s-selection	0.824	1000
animate_subj_trans	two-prefix	s-selection	0.861	1000
causative	sentence	argument_structure	0.659	1000
complex_NP_island	sentence	island_effects	0.481	1000
coordinate_structure_constraint_complex_left_branch	sentence	island_effects	0.419	1000
coordinate_structure_constraint_complex_left_branch	two-prefix	island_effects	0.18	1000
coordinate_structure_constraint_object_extraction	sentence	island_effects	0.736	1000
coordinate_structure_constraint_subject_extraction	sentence	island_effects	0.118	1000
determiner_noun_agreement_1	one-prefix	determiner_noun_agreement	0.577	1000
determiner_noun_agreement_1	sentence	determiner_noun_agreement	0.919	1000
determiner_noun_agreement_2	sentence	determiner_noun_agreement	0.911	1000
determiner_noun_agreement_2	two-prefix	determiner_noun_agreement	0.557	1000
determiner_noun_agreement_irregular_1	one-prefix	determiner_noun_agreement	0.536	1000
determiner_noun_agreement_irregular_1	sentence	determiner_noun_agreement	0.822	1000
determiner_noun_agreement_irregular_2	sentence	determiner_noun_agreement	0.843	1000
determiner_noun_agreement_irregular_2	two-prefix	determiner_noun_agreement	0.562	1000
determiner_noun_agreement_with_adj_2	sentence	determiner_noun_agreement	0.851	1000
determiner_noun_agreement_with_adj_2	two-prefix	determiner_noun_agreement	0.549	1000
determiner_noun_agreement_with_adj_irregular_1	one-prefix	determiner_noun_agreement	0.53	1000
determiner_noun_agreement_with_adj_irregular_1	sentence	determiner_noun_agreement	0.784	1000
determiner_noun_agreement_with_adj_irregular_2	sentence	determiner_noun_agreement	0.798	1000
determiner_noun_agreement_with_adj_irregular_2	two-prefix	determiner_noun_agreement	0.494	1000
determiner_noun_agreement_with_adjective_1	one-prefix	determiner_noun_agreement	0.544	1000
determiner_noun_agreement_with_adjective_1	sentence	determiner_noun_agreement	0.885	1000
distractor_agreement_relational_noun	one-prefix	subject_verb_agreement	0.24	1000
distractor_agreement_relational_noun	sentence	subject_verb_agreement	0.827	1000
distractor_agreement_relative_clause	one-prefix	subject_verb_agreement	0.185	1000
distractor_agreement_relative_clause	sentence	subject_verb_agreement	0.697	1000
drop_argument	sentence	argument_structure	0.784	1000
ellipsis_n_bar_1	sentence	ellipsis	0.681	1000
ellipsis_n_bar_2	sentence	ellipsis	0.695	1000
existential_there_object_raising	sentence	control_raising	0.677	1000
existential_there_object_raising	two-prefix	control_raising	0.54	1000
existential_there_quantifiers_1	sentence	quantifiers	0.963	1000
existential_there_quantifiers_2	sentence	quantifiers	0.172	1000
existential_there_subject_raising	sentence	control_raising	0.804	1000
expletive_it_object_raising	sentence	control_raising	0.673	1000
expletive_it_object_raising	two-prefix	control_raising	0.546	1000
inchoative	sentence	argument_structure	0.693	1000
intransitive	sentence	argument_structure	0.807	1000
irregular_past_participle_adjectives	sentence	irregular_forms	0.901	1000
irregular_past_participle_adjectives	two-prefix	irregular_forms	0.85	1000
irregular_past_participle_verbs	one-prefix	irregular_forms	0.644	1000
irregular_past_participle_verbs	sentence	irregular_forms	0.94	1000
irregular_plural_subject_verb_agreement_1	one-prefix	subject_verb_agreement	0.579	1000
irregular_plural_subject_verb_agreement_1	sentence	subject_verb_agreement	0.848	1000
irregular_plural_subject_verb_agreement_2	sentence	subject_verb_agreement	0.892	1000
irregular_plural_subject_verb_agreement_2	two-prefix	subject_verb_agreement	0.688	1000
left_branch_island_echo_question	sentence	island_effects	0.311	1000
left_branch_island_echo_question	two-prefix	island_effects	0.663	1000
left_branch_island_simple_question	sentence	island_effects	0.36	1000
matrix_question_npi_licensor_present	sentence	npi_licensing	0.136	1000
matrix_question_npi_licensor_present	two-prefix	npi_licensing	0.006	1000
npi_present_1	one-prefix	npi_licensing	0.228	1000
npi_present_1	sentence	npi_licensing	0.643	1000
npi_present_2	one-prefix	npi_licensing	0.257	1000
npi_present_2	sentence	npi_licensing	0.715	1000
only_npi_licensor_present	sentence	npi_licensing	0.968	1000
only_npi_licensor_present	two-prefix	npi_licensing	0.316	1000
only_npi_scope	sentence	npi_licensing	0.783	1000
only_npi_scope	two-prefix	npi_licensing	0.137	1000
passive_1	sentence	argument_structure	0.736	1000
passive_2	sentence	argument_structure	0.749	1000
principle_A_c_command	one-prefix	binding	0.143	1000
principle_A_c_command	sentence	binding	0.681	1000
principle_A_case_1	one-prefix	binding	0.998	1000
principle_A_case_1	sentence	binding	1	1000
principle_A_case_2	one-prefix	binding	0.554	1000
principle_A_case_2	sentence	binding	0.868	1000
principle_A_domain_1	one-prefix	binding	0.661	1000
principle_A_domain_1	sentence	binding	0.981	1000
principle_A_domain_2	one-prefix	binding	0.233	1000
principle_A_domain_2	sentence	binding	0.589	1000
principle_A_domain_3	sentence	binding	0.52	1000
principle_A_domain_3	two-prefix	binding	0.326	1000
principle_A_reconstruction	sentence	binding	0.504	1000
regular_plural_subject_verb_agreement_1	one-prefix	subject_verb_agreement	0.563	1000
regular_plural_subject_verb_agreement_1	sentence	subject_verb_agreement	0.901	1000
regular_plural_subject_verb_agreement_2	sentence	subject_verb_agreement	0.881	1000
regular_plural_subject_verb_agreement_2	two-prefix	subject_verb_agreement	0.581	1000
sentential_negation_npi_licensor_present	sentence	npi_licensing	1	1000
sentential_negation_npi_licensor_present	two-prefix	npi_licensing	0.864	1000
sentential_negation_npi_scope	sentence	npi_licensing	0.374	1000
sentential_negation_npi_scope	two-prefix	npi_licensing	0.073	1000
sentential_subject_island	sentence	island_effects	0.478	1000
simple_anaphor_number_agreement	one-prefix	anaphor_agreement	0.457	1000
simple_anaphor_number_agreement	sentence	anaphor_agreement	0.98	1000
superlative_quantifiers_1	sentence	quantifiers	0.584	1000
superlative_quantifiers_2	sentence	quantifiers	0.701	1000
superlative_quantifiers_2	two-prefix	quantifiers	0.519	1000
tough_vs_raising_1	sentence	control_raising	0.359	1000
tough_vs_raising_2	sentence	control_raising	0.902	1000
transitive	sentence	argument_structure	0.663	1000
transitive	two-prefix	argument_structure	0.518	1000
wh_island	one-prefix	island_effects	0.374	1000
wh_island	sentence	island_effects	0.533	1000
wh_questions_object_gap	sentence	filler_gap_dependency	0.746	1000
wh_questions_object_gap_long_distance	sentence	filler_gap_dependency	0.62	1000
wh_questions_subject_gap	sentence	filler_gap_dependency	0.884	1000
wh_questions_subject_gap_long_distance	sentence	filler_gap_dependency	0.936	1000
wh_vs_that_no-gap	sentence	filler_gap_dependency	0.977	1000
wh_vs_that_no_gap_long_distance	sentence	filler_gap_dependency	0.975	1000
wh_vs_that_with_gap	sentence	filler_gap_dependency	0.428	1000
wh_vs_that_with_gap_long_distance	sentence	filler_gap_dependency	0.121	1000
