UID	type	linguistics_term	acc	n
adjunct_island	sentence	island_effects	0.645	1000
anaphor_gender_agreement	one-prefix	anaphor_agreement	0.602	1000
anaphor_gender_agreement	sentence	anaphor_agreement	0.933	1000
anaphor_number_agreement	one-prefix	anaphor_agreement	0.483	1000
anaphor_number_agreement	sentence	anaphor_agreement	0.971	1000
animate_obj_passive	sentence	s-selection	0.652	1000
animate_obj_passive	two-prefix	s-selection	0.666	1000
animate_obj_trans	one-prefix	s-selection	0.536	1000
animate_obj_trans	sentence	s-selection	0.665	1000
animate_subj_passive	one-prefix	s-selection	0.494	1000
animate_subj_passive	sentence	s-selection	0.708	1000
animate_subj_trans	sentence	s-selection	0.824	1000
animate_subj_trans	two-prefix	s-selection	0.861	1000
animate_subject_passive	one-prefix	s-selection	0.46	1000
animate_subject_passive	sentence	s-selection	0.694	1000
animate_subject_trans	sentence	s-selection	0.813	1000
animate_subject_trans	two-prefix	s-selection	0.85	1000
causative	sentence	argument_structure	0.679	1000
complex_NP_island	sentence	island_effects	0.494	1000
coordinate_structure_constraint_complex_left_branch	sentence	island_effects	0.322	1000
coordinate_structure_constraint_complex_left_branch	two-prefix	island_effects	0.144	1000
coordinate_structure_constraint_object_extraction	sentence	island_effects	0.66	1000
coordinate_structure_constraint_subject_extraction	sentence	island_effects	0.132	1000
determiner_noun_agreement_1	one-prefix	determiner_noun_agreement	0.576	1000
determiner_noun_agreement_1	sentence	determiner_noun_agreement	0.917	1000
determiner_noun_agreement_2	sentence	determiner_noun_agreement	0.896	1000
determiner_noun_agreement_2	two-prefix	determiner_noun_agreement	0.59	1000
determiner_noun_agreement_irregular_1	one-prefix	determiner_noun_agreement	0.568	1000
determiner_noun_agreement_irregular_1	sentence	determiner_noun_agreement	0.816	1000
determiner_noun_agreement_irregular_2	sentence	determiner_noun_agreement	0.84	1000
determiner_noun_agreement_irregular_2	two-prefix	determiner_noun_agreement	0.56	1000
determiner_noun_agreement_with_adj_2	sentence	determiner_noun_agreement	0.842	1000
determiner_noun_agreement_with_adj_2	two-prefix	determiner_noun_agreement	0.518	1000
determiner_noun_agreement_with_adj_irregular_1	one-prefix	determiner_noun_agreement	0.523	1000
determiner_noun_agreement_with_adj_irregular_1	sentence	determiner_noun_agreement	0.758	1000
determiner_noun_agreement_with_adj_irregular_2	sentence	determiner_noun_agreement	0.801	1000
determiner_noun_agreement_with_adj_irregular_2	two-prefix	determiner_noun_agreement	0.517	1000
determiner_noun_agreement_with_adjective_1	one-prefix	determiner_noun_agreement	0.538	1000
determiner_noun_agreement_with_adjective_1	sentence	determiner_noun_agreement	0.868	1000
distractor_agreement_relational_noun	one-prefix	subject_verb_agreement	0.305	1000
distractor_agreement_relational_noun	sentence	subject_verb_agreement	0.835	1000
distractor_agreement_relative_clause	one-prefix	subject_verb_agreement	0.208	1000
distractor_agreement_relative_clause	sentence	subject_verb_agreement	0.735	1000
drop_argument	sentence	argument_structure	0.814	1000
ellipsis_n_bar_1	sentence	ellipsis	0.663	1000
ellipsis_n_bar_2	sentence	ellipsis	0.682	1000
existential_there_object_raising	sentence	control_raising	0.686	1000
existential_there_quantifiers_1	sentence	quantifiers	0.967	1000
existential_there_quantifiers_2	sentence	quantifiers	0.18	1000
existential_there_subject_raising	sentence	control_raising	0.797	1000
expletive_it_object_raising	sentence	control_raising	0.649	1000
inchoative	sentence	argument_structure	0.705	1000
intransitive	sentence	argument_structure	0.778	1000
irregular_past_participle_adjectives	sentence	irregular_forms	0.897	1000
irregular_past_participle_verbs	one-prefix	irregular_forms	0.619	1000
irregular_past_participle_verbs	sentence	irregular_forms	0.949	1000
irregular_plural_subject_verb_agreement_1	one-prefix	subject_verb_agreement	0.583	1000
irregular_plural_subject_verb_agreement_1	sentence	subject_verb_agreement	0.836	1000
irregular_plural_subject_verb_agreement_2	sentence	subject_verb_agreement	0.901	1000
left_branch_island_echo_question	sentence	island_effects	0.349	1000
left_branch_island_simple_question	sentence	island_effects	0.41	1000
matrix_question_npi_licensor_present	sentence	npi_licensing	0.161	1000
npi_present_1	one-prefix	npi_licensing	0.228	1000
npi_present_1	sentence	npi_licensing	0.66	1000
npi_present_2	one-prefix	npi_licensing	0.231	1000
npi_present_2	sentence	npi_licensing	0.725	1000
only_npi_licensor_present	sentence	npi_licensing	0.973	1000
only_npi_scope	sentence	npi_licensing	0.778	1000
passive_1	sentence	argument_structure	0.741	1000
passive_2	sentence	argument_structure	0.741	1000
principle_A_c_command	one-prefix	binding	0.142	1000
principle_A_c_command	sentence	binding	0.62	1000
principle_A_case_1	one-prefix	binding	0.994	1000
principle_A_case_1	sentence	binding	1	1000
principle_A_case_2	one-prefix	binding	0.524	1000
principle_A_case_2	sentence	binding	0.855	1000
