UID	linguistics_term	type	m_pred
adjunct_island	island_effects	sentence	0.326
anaphor_gender_agreement	anaphor_agreement	one-prefix	0.872
anaphor_gender_agreement	anaphor_agreement	sentence	0.118
anaphor_number_agreement	anaphor_agreement	one-prefix	0.947
anaphor_number_agreement	anaphor_agreement	sentence	0.048
animate_subject_passive	argument_structure	one-prefix	0.706
animate_subject_passive	argument_structure	sentence	0.281
animate_subject_trans	argument_structure	sentence	0.132
animate_subject_trans	argument_structure	two-prefix	0.863
causative	argument_structure	sentence	0.316
complex_NP_island	island_effects	sentence	0.526
coordinate_structure_constraint_complex_left_branch	island_effects	sentence	0.699
coordinate_structure_constraint_complex_left_branch	island_effects	two-prefix	0.228
coordinate_structure_constraint_object_extraction	island_effects	sentence	0.295
coordinate_structure_constraint_subject_extraction	island_effects	sentence	0.863
determiner_noun_agreement_1	determiner_noun_agreement	one-prefix	0.897
determiner_noun_agreement_1	determiner_noun_agreement	sentence	0.078
determiner_noun_agreement_2	determiner_noun_agreement	sentence	0.081
determiner_noun_agreement_2	determiner_noun_agreement	two-prefix	0.896
determiner_noun_agreement_irregular_1	determiner_noun_agreement	one-prefix	0.793
determiner_noun_agreement_irregular_1	determiner_noun_agreement	sentence	0.153
determiner_noun_agreement_irregular_2	determiner_noun_agreement	sentence	0.14
determiner_noun_agreement_irregular_2	determiner_noun_agreement	two-prefix	0.831
determiner_noun_agreement_with_adj_2	determiner_noun_agreement	sentence	0.138
determiner_noun_agreement_with_adj_2	determiner_noun_agreement	two-prefix	0.836
determiner_noun_agreement_with_adj_irregular_1	determiner_noun_agreement	one-prefix	0.751
determiner_noun_agreement_with_adj_irregular_1	determiner_noun_agreement	sentence	0.238
determiner_noun_agreement_with_adj_irregular_2	determiner_noun_agreement	sentence	0.171
determiner_noun_agreement_with_adj_irregular_2	determiner_noun_agreement	two-prefix	0.808
determiner_noun_agreement_with_adjective_1	determiner_noun_agreement	one-prefix	0.857
determiner_noun_agreement_with_adjective_1	determiner_noun_agreement	sentence	0.131
distractor_agreement_relational_noun	subject_verb_agreement	one-prefix	0.781
distractor_agreement_relational_noun	subject_verb_agreement	sentence	0.211
distractor_agreement_relative_clause	subject_verb_agreement	one-prefix	0.644
distractor_agreement_relative_clause	subject_verb_agreement	sentence	0.349
drop_argument	argument_structure	sentence	0.211
ellipsis_n_bar_1	ellipsis	sentence	0.322
ellipsis_n_bar_2	ellipsis	sentence	0.326
existential_there_object_raising	control_raising	sentence	0.336
existential_there_object_raising	control_raising	two-prefix	0.665
existential_there_quantifiers_1	quantifiers	sentence	0.037
existential_there_quantifiers_2	quantifiers	sentence	0.838
existential_there_subject_raising	control_raising	sentence	0.205
expletive_it_object_raising	control_raising	sentence	0.37
expletive_it_object_raising	control_raising	two-prefix	0.625
inchoative	argument_structure	sentence	0.343
intransitive	argument_structure	sentence	0.207
irregular_past_participle_adjectives	irregular_forms	sentence	0.072
irregular_past_participle_adjectives	irregular_forms	two-prefix	0.885
irregular_past_participle_verbs	irregular_forms	one-prefix	0.861
irregular_past_participle_verbs	irregular_forms	sentence	0.147
